Language,Voice type,Language code,Voice name,SSML Gender
Swedish (Sweden),Standard,sv-SE,sv-SE-Standard-C,FEMALE
Swedish (Sweden),Standard,sv-SE,sv-SE-Standard-D,MALE
Swedish (Sweden),Standard,sv-SE,sv-SE-Standard-E,MALE
Swedish (Sweden),WaveNet,sv-SE,sv-SE-Wavenet-A,FEMALE
Swedish (Sweden),WaveNet,sv-SE,sv-SE-Wavenet-B,FEMALE
Swedish (Sweden),WaveNet,sv-SE,sv-SE-Wavenet-C,MALE
Swedish (Sweden),WaveNet,sv-SE,sv-SE-Wavenet-D,FEMALE
Swedish (Sweden),WaveNet,sv-SE,sv-SE-Wavenet-E,MALE
Tamil (India),Standard,ta-IN,ta-IN-Standard-A,FEMALE
Tamil (India),Standard,ta-IN,ta-IN-Standard-B,MALE
Tamil (India),Standard,ta-IN,ta-IN-Standard-C,FEMALE
Tamil (India),Standard,ta-IN,ta-IN-Standard-D,MALE
Tamil (India),WaveNet,ta-IN,ta-IN-Wavenet-A,FEMALE
Tamil (India),WaveNet,ta-IN,ta-IN-Wavenet-B,MALE
Tamil (India),WaveNet,ta-IN,ta-IN-Wavenet-C,FEMALE
Tamil (India),WaveNet,ta-IN,ta-IN-Wavenet-D,MALE
Telugu (India),Standard,te-IN,te-IN-Standard-A,FEMALE
Telugu (India),Standard,te-IN,te-IN-Standard-B,MALE
Thai (Thailand),Neural2,th-TH,th-TH-Neural2-C,FEMALE
Thai (Thailand),Standard,th-TH,th-TH-Standard-A,FEMALE
Turkish (Turkey),Standard,tr-TR,tr-TR-Standard-A,FEMALE
Turkish (Turkey),Standard,tr-TR,tr-TR-Standard-B,MALE
Turkish (Turkey),Standard,tr-TR,tr-TR-Standard-C,FEMALE
Turkish (Turkey),Standard,tr-TR,tr-TR-Standard-D,FEMALE
Turkish (Turkey),Standard,tr-TR,tr-TR-Standard-E,MALE
Turkish (Turkey),WaveNet,tr-TR,tr-TR-Wavenet-A,FEMALE
Turkish (Turkey),WaveNet,tr-TR,tr-TR-Wavenet-B,MALE
Turkish (Turkey),WaveNet,tr-TR,tr-TR-Wavenet-C,FEMALE
Turkish (Turkey),WaveNet,tr-TR,tr-TR-Wavenet-D,FEMALE
Turkish (Turkey),WaveNet,tr-TR,tr-TR-Wavenet-E,MALE
Ukrainian (Ukraine),Standard,uk-UA,uk-UA-Standard-A,FEMALE
Ukrainian (Ukraine),WaveNet,uk-UA,uk-UA-Wavenet-A,FEMALE
Vietnamese (Vietnam),Neural2,vi-VN,vi-VN-Neural2-A,FEMALE
Vietnamese (Vietnam),Neural2,vi-VN,vi-VN-Neural2-D,MALE
Vietnamese (Vietnam),Standard,vi-VN,vi-VN-Standard-A,FEMALE
Vietnamese (Vietnam),Standard,vi-VN,vi-VN-Standard-B,MALE
Vietnamese (Vietnam),Standard,vi-VN,vi-VN-Standard-C,FEMALE
Vietnamese (Vietnam),Standard,vi-VN,vi-VN-Standard-D,MALE
Vietnamese (Vietnam),WaveNet,vi-VN,vi-VN-Wavenet-A,FEMALE
Vietnamese (Vietnam),WaveNet,vi-VN,vi-VN-Wavenet-B,MALE
Vietnamese (Vietnam),WaveNet,vi-VN,vi-VN-Wavenet-C,FEMALE
Vietnamese (Vietnam),WaveNet,vi-VN,vi-VN-Wavenet-D,MALE
